numero,local,endereco,modalidade,bateria,bebida
1,Ginásio Conjunto Guarani,"R. Santa Rosa - Umuarama - PR, 87509-340",Vôlei,Liberada,Proibida
2,UNIPAR Campus III,"Av. Tiradentes, 3240 - Jardim Paraíso, Umuarama - PR, 87505-090","Basquete, Vôlei, Xadrez",Liberada,Proibida
3,Tectum,"R. Galdino Silva, 2608 - Umuarama - PR, 87511-140",Tênis de campo,Proibida,Proibida
4,A6 Tênis e Pickleball,"R. Francisco Inácio Lira - Jardim San Martim, Umuarama - PR, 87508-200",Tênis de campo,Proibida,Proibida
5,Ginásio Parque das Jaboticabeiras,"R. das Onze Horas, 1460 - Parque das Jaboticabeiras, Umuarama - PR, 87509-270",Futsal,Liberada,Proibida
6,Estádio Municipal Lúcio Pepino,"Av. São Pedro, 220 - Zona III, Umuarama - PR","Atletismo, Futebol",Liberada,Proibida
7,RA Academia de Tênis,"R. do Bosque, 4710 - Jardim Social, Umuarama - PR, 87506-010",Tênis de campo,Proibida,Proibida
8,Campo Santa Cruz,"Lovat, Umuarama - PR, 87504-672",Futebol,Liberada,Proibida
9,Ginásio de Esportes Mário Oncken,"Av. Gov. Parigot de Souza, 4284 - Zona I, Umuarama - PR, 87503-680",Basquete,Liberada,Liberada
10,Harmonia Clube de Campo,"R. José Dias Lopes, 4310 - Jardim Aratimbo, Umuarama - PR, 87502-270",Natação,Proibida,Proibida
11,CEJU (Centro da Juventude Umuarama),"Av. Goiânia, 3365 - Zona VI, Umuarama - PR, 87503-140",Judô,Liberada,Proibida
12,UEM Umuarama,"Av. Ângelo Moreira da Fonseca, 1800 - Parque Danielle, Umuarama - PR, 87506-370",Voleibol,Liberada,Liberada
13,Spin Tênis de Mesa,"Av. Ângelo Moreira da Fonseca, 6000 - próximo ao Colégio Pedro II, Umuarama - PR, 87504-050",Tênis de mesa,Proibida,Proibida
14,Ginásio de Esportes Alphaville,"R. Benvenuto Gazi, 123 - Parque Bandeirantes, Umuarama - PR, 87504-695",Handebol,Liberada,Proibida
15,Ginásio Professor Reginaldo Gomes da Silva,"Conj. Hab. Sonho Meu - R. Olavo Bilac - Umuarama, PR",Handebol,Liberada,Liberada
16,Ginásio Amário Vieira da Costa,"Av. Pres. Castelo Branco, 2071 - Zona VI, Umuarama - PR, 87503-200","Vôlei de areia, Futsal",Liberada,Liberada
